Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768758861,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768758862,5,,Aggregated,0.000000,0.000000,11,11,12,12,17,17,17,17,17,17,17,6,0,11,11.329166666958676,7.126399999833666,16.850400001203525,796.6666666666666
1768758863,10,,Aggregated,0.000000,0.000000,12,13,13,13,15,17,17,17,17,17,17,16,0,11,10.982075000015357,6.207700000231853,16.850400001203525,477.125
1768758864,20,,Aggregated,5.000000,0.000000,11,13,13,15,18,19,21,21,21,21,21,33,0,11,10.956572727412674,5.773900000349386,20.746000000144704,583.8181818181819
1768758865,25,,Aggregated,7.000000,0.000000,8,12,15,15,17,19,19,21,21,21,21,51,0,8,10.343564706072714,5.234500000369735,20.746000000144704,629.8039215686274
1768758866,30,,Aggregated,9.333333,0.000000,7,11,12,13,16,18,19,21,21,21,21,73,0,7,9.435454794658828,4.728699999759556,20.746000000144704,639.7534246575342
1768758867,35,,Aggregated,11.000000,0.000000,7,10,12,13,15,18,19,21,21,21,21,95,0,7,9.055034736976316,4.728699999759556,20.746000000144704,633.6105263157895
1768758868,40,,Aggregated,12.400000,0.000000,7,9,11,12,15,16,19,19,21,21,21,126,0,7,8.684226984206319,4.232100000081118,20.746000000144704,594.6111111111111
1768758869,45,,Aggregated,14.666667,0.000000,7,9,11,12,14,16,18,19,21,21,21,158,0,7,8.519351265908593,4.232100000081118,20.746000000144704,573.8227848101266
1768758870,50,,Aggregated,16.000000,0.000000,7,8,9,11,13,15,18,19,21,21,21,204,0,7,8.135339215802079,4.232100000081118,20.746000000144704,601.906862745098
1768758871,50,,Aggregated,17.875000,0.000000,7,8,9,11,13,15,18,19,21,21,21,243,0,7,8.00095020588334,4.232100000081118,20.746000000144704,578.5761316872428
